City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Fortuna,US,2020-07-09 16:16:10,40.6,-124.16,55.99,100,90,5.82
120,Tall Kayf,TR,2020-07-09 16:16:10,37.08,41.07,105.8,11,20,18.34
121,Takoradi,GH,2020-07-09 16:16:11,4.88,-1.76,79.16,79,86,12.44
122,Mukono,UG,2020-07-09 16:16:11,0.35,32.76,77.0,69,20,10.29
123,Port Alfred,ZA,2020-07-09 16:16:11,-33.59,26.89,73.0,50,89,5.99
124,Dingle,PH,2020-07-09 16:16:11,11.0,122.67,78.03,86,53,2.15
125,Tuktoyaktuk,CA,2020-07-09 16:16:11,69.45,-133.04,35.6,93,90,9.17
126,Sao Filipe,CV,2020-07-09 16:16:12,14.9,-24.5,77.32,82,2,18.97
127,Lavrentiya,RU,2020-07-09 16:16:12,65.58,-171.0,45.72,86,1,1.28
128,Horn,DE,2020-07-09 16:16:12,51.87,8.95,68.0,82,90,8.05
129,Barrow,US,2020-07-09 16:13:41,71.29,-156.79,35.6,93,90,10.29
130,Ordynskoye,RU,2020-07-09 16:16:13,54.37,81.9,67.57,92,96,4.9
131,Port Blair,IN,2020-07-09 16:16:13,11.67,92.75,81.95,81,100,11.16
132,Chuy,UY,2020-07-09 16:16:13,-33.7,-53.46,50.58,71,60,13.87
133,Labuhan,ID,2020-07-09 16:16:13,-6.88,112.21,76.39,81,81,8.19
134,Hermanus,ZA,2020-07-09 16:16:13,-34.42,19.23,52.0,95,100,8.01
135,Ust-Ilimsk,RU,2020-07-09 16:16:14,58.0,102.66,59.94,60,100,3.15
136,Reforma,MX,2020-07-09 16:16:14,18.1,-91.02,85.21,68,2,8.23
137,Isangel,VU,2020-07-09 16:15:35,-19.55,169.27,69.8,94,90,17.36
138,Alyangula,AU,2020-07-09 16:16:14,-13.85,136.42,71.6,94,12,11.34
139,Bharatpur,IN,2020-07-09 16:16:14,27.22,77.48,91.6,56,99,11.32
140,Araouane,ML,2020-07-09 16:16:15,18.9,-3.53,105.26,18,48,17.13
141,Agadez,NE,2020-07-09 16:16:15,19.75,10.25,104.74,12,48,1.12
142,Namie,JP,2020-07-09 16:16:15,37.48,141.0,71.01,75,100,4.03
143,Samarai,PG,2020-07-09 16:15:48,-10.62,150.67,78.39,87,95,20.49
144,Hithadhoo,MV,2020-07-09 16:14:10,-0.6,73.08,85.17,68,100,4.14
145,Lang Son,VN,2020-07-09 16:16:16,21.83,106.73,80.69,78,100,7.49
146,Mahebourg,MU,2020-07-09 16:13:54,-20.41,57.7,71.6,60,20,16.11
147,Gat,IL,2020-07-09 16:16:16,31.61,34.76,84.0,62,0,3.0
148,Mar Del Plata,AR,2020-07-09 16:12:22,-38.0,-57.56,48.99,61,1,8.05
149,Nanortalik,GL,2020-07-09 16:13:56,60.14,-45.24,46.2,93,100,14.47
150,Puerto Colombia,CO,2020-07-09 16:16:17,10.99,-74.95,84.2,79,40,3.36
151,Port Elizabeth,ZA,2020-07-09 16:16:17,-33.92,25.57,69.8,43,72,18.34
152,Arlit,NE,2020-07-09 16:16:17,18.74,7.39,104.27,16,92,8.97
153,Dalbandin,PK,2020-07-09 16:16:17,28.89,64.41,93.85,10,45,12.84
154,Mayor Pablo Lagerenza,PY,2020-07-09 16:16:18,-19.93,-60.77,64.26,56,82,4.52
155,Broome,US,2020-07-09 16:16:18,42.25,-75.83,88.0,61,1,2.62
156,Aktas,KZ,2020-07-09 16:16:18,49.78,72.96,66.2,68,68,6.71
157,Maniitsoq,GL,2020-07-09 16:16:18,65.42,-52.9,43.14,96,100,22.59
158,Geraldton,AU,2020-07-09 16:16:19,-28.77,114.6,46.4,87,0,10.29
159,Lompoc,US,2020-07-09 16:16:19,34.64,-120.46,57.2,87,90,3.36
160,Dikson,RU,2020-07-09 16:16:19,73.51,80.55,44.49,81,0,17.22
161,Vardo,NO,2020-07-09 16:16:19,70.37,31.11,48.2,87,75,20.8
162,Chimore,BO,2020-07-09 16:16:19,-16.98,-65.13,68.16,51,87,3.89
163,Cururupu,BR,2020-07-09 16:16:20,-1.83,-44.87,86.13,63,28,5.28
164,Almaznyy,RU,2020-07-09 16:16:20,48.04,40.05,78.8,44,20,11.18
165,Talnakh,RU,2020-07-09 16:16:20,69.49,88.4,64.4,72,3,17.9
166,Port-Cartier,CA,2020-07-09 16:16:20,50.03,-66.87,64.4,88,90,6.93
167,Umm Kaddadah,SD,2020-07-09 16:16:20,13.6,26.69,90.46,35,76,3.51
168,Hasaki,JP,2020-07-09 16:13:48,35.73,140.83,73.4,100,75,5.82
169,Oudtshoorn,ZA,2020-07-09 16:16:21,-33.59,22.2,55.4,87,20,18.34
170,Tochimilco,MX,2020-07-09 16:16:21,18.9,-98.57,66.2,63,75,2.01
171,Hambantota,LK,2020-07-09 16:16:21,6.12,81.12,78.8,100,20,2.24
172,Haines Junction,CA,2020-07-09 16:16:22,60.75,-137.51,53.31,63,79,0.94
173,Troitskiy,RU,2020-07-09 16:16:22,57.06,63.75,77.29,80,13,4.05
174,Pandamatenga,BW,2020-07-09 16:16:22,-18.53,25.63,67.87,40,26,6.2
175,Koundara,GN,2020-07-09 16:16:22,12.48,-13.3,94.03,52,63,9.24
176,Santa Rosa,PH,2020-07-09 16:16:23,14.31,121.11,84.99,79,100,4.0
177,San Jose,US,2020-07-09 16:15:34,37.34,-121.89,68.0,67,20,3.36
178,Niamey,NE,2020-07-09 16:13:00,13.51,2.11,98.6,30,75,6.93
179,Agara,GE,2020-07-09 16:16:23,42.04,43.82,70.27,70,13,10.02
180,Airai,TL,2020-07-09 16:16:21,-8.93,125.41,55.67,100,99,3.94
181,Cape Town,ZA,2020-07-09 16:15:35,-33.93,18.42,55.0,93,75,17.22
182,Yulara,AU,2020-07-09 16:14:36,-25.24,130.99,46.4,31,19,3.31
183,Kencong,ID,2020-07-09 16:16:24,-8.28,113.37,73.8,88,92,3.65
184,Kloulklubed,PW,2020-07-09 16:16:24,7.04,134.26,77.0,94,75,13.22
185,Port Macquarie,AU,2020-07-09 16:16:25,-31.43,152.92,50.0,97,100,6.02
186,Bubaque,GW,2020-07-09 16:16:25,11.28,-15.83,82.94,81,49,15.21
187,Bonthe,SL,2020-07-09 16:16:25,7.53,-12.51,78.69,85,96,12.73
188,Saskylakh,RU,2020-07-09 16:16:25,71.92,114.08,49.08,68,50,11.95
189,Bahia Honda,CU,2020-07-09 16:13:56,22.9,-83.16,87.49,65,26,8.1
190,Acapulco,MX,2020-07-09 16:14:33,16.86,-99.89,84.2,66,75,4.7
191,Gorontalo,ID,2020-07-09 16:16:26,0.54,123.06,75.42,88,91,2.33
192,Mokhsogollokh,RU,2020-07-09 16:16:27,61.47,128.92,65.26,60,100,7.07
193,Aldan,RU,2020-07-09 16:16:27,58.6,125.39,58.14,95,92,9.55
194,Crotone,IT,2020-07-09 16:16:27,39.09,17.12,84.2,26,0,9.17
195,Bathsheba,BB,2020-07-09 16:16:27,13.22,-59.52,87.8,62,20,21.92
196,Novoagansk,RU,2020-07-09 16:16:28,61.94,76.66,61.81,62,43,12.24
197,Souillac,MU,2020-07-09 16:14:51,-20.52,57.52,71.6,60,20,16.11
