City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snowfall (inches)
279,Korla,CN,41.76,86.15,77.0,76,0,4.0,clear sky,0.0,0
280,Abha,SA,18.22,42.51,75.2,40,0,9.82,clear sky,0.0,0
281,Sembe,CG,1.65,14.58,70.95,92,100,1.45,moderate rain,1.31,0
282,Moses Lake,US,47.13,-119.28,84.2,25,1,6.93,clear sky,0.0,0
283,San Patricio,MX,19.22,-104.7,87.8,74,40,17.22,scattered clouds,0.0,0
284,Sao Joao Da Barra,BR,-21.64,-41.05,68.47,74,14,6.64,few clouds,0.0,0
285,Navahrudak,BY,53.6,25.83,64.18,98,100,12.1,light rain,0.11,0
286,Norman Wells,CA,65.28,-126.83,51.8,81,90,14.99,overcast clouds,0.0,0
287,Khuzdar,PK,27.74,66.64,74.77,79,0,4.94,clear sky,0.0,0
288,Te Anau,NZ,-45.42,167.72,46.51,82,100,8.3,overcast clouds,0.0,0
289,Lasa,IT,46.62,10.7,55.4,100,5,5.82,clear sky,0.0,0
290,Pogranichnyy,RU,44.41,131.38,71.87,62,91,7.02,overcast clouds,0.0,0
291,Akyab,MM,20.15,92.9,82.83,85,100,10.8,moderate rain,2.67,0
292,Belmonte,BR,-15.86,-38.88,69.8,83,20,2.24,few clouds,0.0,0
293,Kartaly,RU,53.05,60.65,71.92,70,0,4.72,clear sky,0.0,0
294,Cidreira,BR,-30.18,-50.21,56.23,84,0,6.64,clear sky,0.0,0
295,Saint-Augustin,CA,51.23,-58.65,60.21,86,75,10.94,broken clouds,0.0,0
296,Mahebourg,MU,-20.41,57.7,69.8,68,75,16.11,broken clouds,0.0,0
297,Ancud,CL,-41.87,-73.82,44.01,86,40,11.41,scattered clouds,0.0,0
298,Ternate,ID,0.8,127.4,83.43,68,100,3.11,overcast clouds,0.0,0
299,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.95,85,22,10.18,few clouds,0.0,0
300,Miraflores,MX,19.22,-98.81,75.2,36,75,19.46,broken clouds,0.0,0
301,Darnah,LY,32.77,22.64,74.41,78,0,18.05,clear sky,0.0,0
302,Ballina,AU,-28.87,153.57,64.99,93,100,3.58,overcast clouds,0.0,0
303,Sompeta,IN,18.93,84.6,83.84,78,100,9.33,overcast clouds,0.0,0
304,Bandarbeyla,SO,9.49,50.81,79.39,70,25,30.31,scattered clouds,0.0,0
305,Praya,CV,14.92,-23.51,78.8,74,20,6.93,few clouds,0.0,0
306,Reconquista,AR,-29.15,-59.65,60.4,73,100,5.79,overcast clouds,0.0,0
307,Genc,TR,38.75,40.56,65.97,54,0,6.53,clear sky,0.0,0
308,Pampierstad,ZA,-27.78,24.69,50.68,58,100,18.23,overcast clouds,0.0,0
309,Tual,ID,-5.67,132.75,79.72,87,0,15.43,clear sky,0.0,0
